company,ticker,isin,country,sector,subsector,weight,last_update
company,ticker,isin,country,sector,subsector,weight
Nestlé,NESN,CH0038863350,Switzerland,Food Beverage & Tobacco,Food Products,6.23
ASML Holding,ASML,NL0010273215,Netherlands,Technology,Semiconductors,5.44
Novo Nordisk B,NOVO-B,DK0060534915,Denmark,Health Care,Pharmaceuticals,4.98
LVMH,LVMH,FR0000121014,France,Consumer Products & Services,Luxury Goods,4.61
AstraZeneca,AZN,GB0009895292,United Kingdom,Health Care,Pharmaceuticals,4.38
Roche Holding,RHO,CH0012032048,Switzerland,Health Care,Biotechnology,4.12
Novartis,NOVN,CH0012005267,Switzerland,Health Care,Pharmaceuticals,4.00
Shell,SHEL,GB00BP6MXD84,United Kingdom,Energy,Oil & Gas,3.94
HSBC,HSBA,GB0005405286,United Kingdom,Banks,Global Banks,2.98
TotalEnergies,TTE,FR0000120271,France,Energy,Oil & Gas,2.74
SAP,SAP,DE0007164600,Germany,Technology,Software,2.65
Unilever PLC,ULVR,GB00B10RZP78,United Kingdom,Personal Care,Household Products,2.56
Siemens,SIE,DE0007236101,Germany,Industrial Goods & Services,Industrial Engineering,2.51
Sanofi,SAN,FR0000120578,France,Health Care,Pharmaceuticals,2.24
BP,BP,GB0007980591,United Kingdom,Energy,Oil & Gas,2.09
L'Oréal,OR,FR0000120321,France,Consumer Products & Services,Personal Products,2.05
Schneider Electric,SU,FR0000121972,France,Industrial Goods & Services,Electrical Components,1.91
Diageo,DGE,GB0002374006,United Kingdom,Food Beverage & Tobacco,Beverages,1.82
Air Liquide,AI,FR0000120073,France,Chemicals,Industrial Gases,1.80
Allianz,ALV,DE0008404005,Germany,Insurance,Multi-line Insurance,1.74
Richemont,CFR,CH0210483332,Switzerland,Consumer Products & Services,Luxury Goods,1.65
Airbus,AIR,NL0000235190,France,Industrial Goods & Services,Aerospace,1.57
Hermès,RMS,FR0000052292,France,Consumer Products & Services,Luxury Goods,1.43
Iberdrola,IBE,ES0144580Y14,Spain,Utilities,Electric Utilities,1.42
Deutsche Telekom,DTE,DE0005557508,Germany,Telecommunications,Integrated Telecom,1.38
Rio Tinto,RIO,GB0007188757,United Kingdom,Basic Resources,Metals & Mining,1.37
Zurich Insurance,ZURN,CH0011075394,Switzerland,Insurance,Property & Casualty,1.35
GSK,GSK,GB0009252882,United Kingdom,Health Care,Pharmaceuticals,1.34
Vinci,DG,FR0000125486,France,Construction & Materials,Infrastructure,1.34
BNP Paribas,BNP,FR0000131104,France,Banks,Commercial Banks,1.32
British American Tobacco,BATS,GB0002875804,United Kingdom,Food Beverage & Tobacco,Tobacco,1.27
RELX,REL,GB00B2B0DG97,United Kingdom,Media,Publishing,1.23
Mercedes-Benz Group,MBG,DE0007100000,Germany,Automobiles & Parts,Automobiles,1.22
ABB,ABBN,CH0012221716,Switzerland,Industrial Goods & Services,Automation,1.19
UBS Group,UBSG,CH0244767585,Switzerland,Financial Services,Investment Banking,1.17
Glencore,GLEN,JE00B4T3BW64,United Kingdom,Basic Resources,Metals & Mining,1.17
Banco Santander,SAN,ES0113900J37,Spain,Banks,Commercial Banks,1.11
Safran,SAF,FR0000073272,France,Industrial Goods & Services,Aerospace,1.09
EssilorLuxottica,EL,FR0000121667,France,Health Care,Medical Equipment,1.08
AXA,CS,FR0000120628,France,Insurance,Multi-line Insurance,1.08
Reckitt Benckiser,RKT,GB00B24CGK77,United Kingdom,Personal Care,Household Products,1.07
Bayer,BAYN,DE000BAY0017,Germany,Health Care,Pharmaceuticals,1.05
Prosus,PRX,NL0013654783,Netherlands,Technology,Internet Services,1.02
Anheuser-Busch InBev,ABI,BE0974293251,Belgium,Food Beverage & Tobacco,Beverages,0.98
Enel,ENEL,IT0003128367,Italy,Utilities,Electric Utilities,0.97
National Grid,NG,GB00BDR05C01,United Kingdom,Utilities,Electric Utilities,0.93
Adyen,ADYEN,NL0012969182,Netherlands,Industrial Goods & Services,Payment Services,0.92
Deutsche Post,DPW,DE0005552004,Germany,Industrial Goods & Services,Logistics,0.89
BASF,BAS,DE000BASF111,Germany,Chemicals,Specialty Chemicals,0.84
Kering,KER,FR0000121485,France,Consumer Products & Services,Luxury Goods,0.78



